Issue Key,Issue summary,Work date,Hours,Username,Period,Account Key,Account Name,Account Lead,Account Category,Account Customer,Activity Name,Component,All Components,Version Name,Issue Type,Issue Status,Project Key,Epic,Epic Link,Work Description,Parent Key,Reporter,External Hours,Billed Hours,Issue Original Estimate,Issue Remaining Estimate,,,
JUSTMIKA-2947,"Create BuildingBlock BbDeadline ""Frist""",2021-7-22,3.5,marcus,,,,,,,1.1.0.9,module-xplain-backoffice,module-xplain-backoffice,1.1.0.9,Sub-task,Resolved,JUSTMIKA,JustThis MIKA,,,"added write-back feature to business case, debugging",JUSTMIKA-2944,Project,0,3.5,0,2,,MIKA JustControl Changes
JUSTMIKA-3000,Testtask: Test Fulltextsearch Lucene,2021-7-22,2.5,isabel,,,,,,,1.1.0.9,TESTING,TESTING,1.1.0.9,Task,Resolved,JUSTMIKA,JustThis MIKA,,,,,stefan,0,2.5,,0,,
JUSTMIKA-2898,Adapt queryService module to work with two database connections,2021-7-22,0.5,angela,,,,,,,1.1.0.8,module-xplain-database-query,module-xplain-database-query,1.1.0.8,Sub-task,Resolved,JUSTMIKA,JustThis MIKA,,,"Update configurations, create new replacements for test-x",JUSTMIKA-2997,stefan,0,0.5,0,0,https://jira-justthis.xplain.ch/browse/TICKET-667,
JUSTMIKA-2970,"Changes on data object ""Lohn"" (CG 1700)",2021-7-22,1,roberto,,,,,,,1.1.0.8,database-structure-product,database-structure-product,1.1.0.8,Sub-task,Resolved,JUSTMIKA,JustThis MIKA,,,support localizing why getting the codes from OXLOGON was resulting in an error,JUSTMIKA-2969,tom,0,1,0,0,,
JUSTMIKA-2323,JustControl: Calculation on the Mask Lohnrechner,2021-7-22,7.75,josel,,,,,,,1.1.0.8,client-app,client-app,1.1.0.8,Sub-task,Resolved,JUSTMIKA,JustThis MIKA,,,Developing,JUSTMIKA-2322,stefan,0,7.75,,0,,
JUSTMIKA-2898,Adapt queryService module to work with two database connections,2021-7-22,0.5,angela,,,,,,,1.1.0.8,module-xplain-database-query,module-xplain-database-query,1.1.0.8,Sub-task,Resolved,JUSTMIKA,JustThis MIKA,,,Support deployment,JUSTMIKA-2997,stefan,0,0.5,0,0,https://jira-justthis.xplain.ch/browse/TICKET-667,
JUSTMIKA-2947,"Create BuildingBlock BbDeadline ""Frist""",2021-7-22,2.5,marcus,,,,,,,1.1.0.9,module-xplain-backoffice,module-xplain-backoffice,1.1.0.9,Sub-task,Resolved,JUSTMIKA,JustThis MIKA,,,added BB_DEADLINE_DEFAULT_PARAM and calculation of deadline,JUSTMIKA-2944,Project,0,2.5,0,2,,MIKA JustControl Changes
JUSTMIKA-3003,Error when getting codegroup 1700 from table CODE_SALARY,2021-7-22,1,Pedros,,,,,,,1.1.0.8,database-data-codes,database-data-codes,1.1.0.8,Sub-task,Resolved,JUSTMIKA,JustThis MIKA,,,,JUSTMIKA-2322,nacho,0,1,0,0,,
JUSTMIKA-2980,"New right for Search Search ""JustControl Terminkontrollen""",2021-7-22,0.5,stella,,,,,,,1.1.0.8,database-data-codes,database-data-codes,1.1.0.8,Sub-task,Resolved,JUSTMIKA,JustThis MIKA,,,,JUSTMIKA-2972,stefan,0,0.5,,0,,
JUSTMIKA-2945,"Create BuildingBlock BbDossier ""Dossier""",2021-7-22,2,marcus,,,,,,,1.1.0.8,client-app,client-app;module-xplain-backoffice,1.1.0.8,Sub-task,Resolved,JUSTMIKA,JustThis MIKA,,,output variables & init dossier nr,JUSTMIKA-2944,Project,0,2,0,0,,
JUSTMIKA-2946,"Create BuildingBlock BbAssociate ""Partner""",2021-7-22,1.5,marcus,,,,,,,1.1.0.9,client-app,client-app;module-xplain-backoffice,1.1.0.9,Sub-task,Resolved,JUSTMIKA,JustThis MIKA,,,output,JUSTMIKA-2944,Project,0,1.5,0,0,,
JUSTMIKA-2949,"Extend BbInvolvedParty ""Personen mit Adressen""",2021-7-22,4,marcus,,,,,,,1.1.0.8,,,1.1.0.8,Sub-task,Resolved,JUSTMIKA,JustThis MIKA,,,dev,JUSTMIKA-2944,Project,0,4,0,0,,
JUSTMIKA-2928,Change Dossiersicht Vollzugsverfahren Landesverweisung,2021-7-21,2.75,lorenzo,,,,,,,1.1.0.8,client-app,client-app;library-xplain-search-worx;module-xplain-search-mika,1.1.0.8,Sub-task,Resolved,JUSTMIKA,JustThis MIKA,,,Changes,JUSTMIKA-2530,stefan,0,2.75,,0,http://jira.xplain.intra:8080/browse/JUSTMIKA-2530,
JUSTMIKA-2929,"New search ""Vollzug Landesverweisung""",2021-7-21,4,lorenzo,,,,,,,1.1.0.8,module-xplain-search-mika,library-xplain-search-worx;module-xplain-search-mika,1.1.0.8,Sub-task,Resolved,JUSTMIKA,JustThis MIKA,,,Last changes,JUSTMIKA-2530,stefan,0,4,8,0,https://jira-justthis.xplain.ch/browse/TICKET-592,
JUSTMIKA-2323,JustControl: Calculation on the Mask Lohnrechner,2021-7-21,4.25,josel,,,,,,,1.1.0.8,client-app,client-app,1.1.0.8,Sub-task,Resolved,JUSTMIKA,JustThis MIKA,,,Analysing and developing,JUSTMIKA-2322,stefan,0,4.25,,0,,
JUSTMIKA-2940,Introduction of Versandpaket and Postausgang in MIKA,2021-7-21,2,josel,,,,,,,1.1.0.8,,,1.1.0.8,New Feature,Resolved,JUSTMIKA,JustThis MIKA,,,Checking problems,,Project,0,2,,0,https://jira-justthis.xplain.ch/browse/TICKET-820,
JUSTMIKA-2928,Change Dossiersicht Vollzugsverfahren Landesverweisung,2021-7-20,1,lorenzo,,,,,,,1.1.0.8,client-app,client-app;library-xplain-search-worx;module-xplain-search-mika,1.1.0.8,Sub-task,Resolved,JUSTMIKA,JustThis MIKA,,,Analyze changes,JUSTMIKA-2530,stefan,0,1,,0,http://jira.xplain.intra:8080/browse/JUSTMIKA-2530,
JUSTMIKA-2954,"Changes on Mask ""Lohnrechner"" ",2021-7-21,3,jesus,,,,,,,1.1.0.8,client-app,client-app,1.1.0.8,Improvement,Resolved,JUSTMIKA,JustThis MIKA,,,"Dev, test, commit",,Project,0,3,,0,,
JUSTMIKA-3000,Testtask: Test Fulltextsearch Lucene,2021-7-21,1,isabel,,,,,,,1.1.0.9,TESTING,TESTING,1.1.0.9,Task,Resolved,JUSTMIKA,JustThis MIKA,,,,,stefan,0,1,,0,,
JUSTMIKA-3001,"Update values in code of ""Standort""",2021-7-21,0.5,stella,,,,,,,1.1.0.8,database-data-codes,database-data-codes,1.1.0.8,Sub-task,Resolved,JUSTMIKA,JustThis MIKA,,,,JUSTMIKA-2940,josel,0,0.5,,0,,
JUSTMIKA-2941,"Improve the data object ""Vollzug Landesverweisung""",2021-7-21,0.5,Pedros,,,,,,,1.1.0.8,database-structure-product,database-structure-product,1.1.0.8,Sub-task,Resolved,JUSTMIKA,JustThis MIKA,,,,JUSTMIKA-2530,tom,0,0.5,,0,http://jira.xplain.intra:8080/browse/JUSTMIKA-2530,
JUSTMIKA-3002,Missing mandatory in M2_MainworxVM,2021-7-21,1.5,josel,,,,,,,1.1.0.8,client-app,client-app,1.1.0.8,Bug,Resolved,JUSTMIKA,JustThis MIKA,,,Analysing and Developing,,josel,0,1.5,0,0,,
JUSTMIKA-2955,"Changes on data object ""Lohnrechner""",2021-7-21,0.5,Pedros,,,,,,,1.1.0.8,database-structure-product,database-structure-product,1.1.0.8,Sub-task,Resolved,JUSTMIKA,JustThis MIKA,,,,JUSTMIKA-2954,tom,0,0.5,0,0,,
JUSTMIKA-2979,Introduce the fulltextsearch in the Server side for MIKA.,2021-7-21,1,lorenzo,,,,,,,1.1.0.8,module-xplain-search-mika,library-xplain-search-lucene;module-xplain-search-mika,1.1.0.8,Sub-task,Resolved,JUSTMIKA,JustThis MIKA,,,Changed position of Lucene Search,JUSTMIKA-2901,sergio,0,1,0,0,,
JUSTMIKA-2999,"Add element ""Versandpaket"" in codegroup ""2070""",2021-7-21,0.5,stella,,,,,,,1.1.0.8,database-data-codes,database-data-codes,1.1.0.8,Sub-task,Resolved,JUSTMIKA,JustThis MIKA,,,,JUSTMIKA-2940,josel,0,0.5,,0,,
JUSTMIKA-2945,"Create BuildingBlock BbDossier ""Dossier""",2021-7-21,3,marcus,,,,,,,1.1.0.8,client-app,client-app;module-xplain-backoffice,1.1.0.8,Sub-task,Resolved,JUSTMIKA,JustThis MIKA,,,dev,JUSTMIKA-2944,Project,0,3,0,0,,
JUSTMIKA-2947,"Create BuildingBlock BbDeadline ""Frist""",2021-7-21,3,marcus,,,,,,,1.1.0.9,module-xplain-backoffice,module-xplain-backoffice,1.1.0.9,Sub-task,Resolved,JUSTMIKA,JustThis MIKA,,,dev,JUSTMIKA-2944,Project,0,3,0,2,,MIKA JustControl Changes
JUSTMIKA-2946,"Create BuildingBlock BbAssociate ""Partner""",2021-7-21,3,marcus,,,,,,,1.1.0.9,client-app,client-app;module-xplain-backoffice,1.1.0.9,Sub-task,Resolved,JUSTMIKA,JustThis MIKA,,,dev ,JUSTMIKA-2944,Project,0,3,0,0,,
JUSTMIKA-2323,JustControl: Calculation on the Mask Lohnrechner,2021-7-20,2.25,josel,,,,,,,1.1.0.8,client-app,client-app,1.1.0.8,Sub-task,Resolved,JUSTMIKA,JustThis MIKA,,,Checking specification,JUSTMIKA-2322,stefan,0,2.25,,0,,
JUSTMIKA-2366,Lohnrechner in Home ,2021-7-20,0.25,juanb,,,,,,,1.1.0.9,client-app,client-app,1.1.0.9,New Feature,Resolved,JUSTMIKA,JustThis MIKA,,,Rev. 60308,,Project,0,0.25,,0,,
JUSTMIKA-2323,JustControl: Calculation on the Mask Lohnrechner,2021-7-20,1,josel,,,,,,,1.1.0.8,client-app,client-app,1.1.0.8,Sub-task,Resolved,JUSTMIKA,JustThis MIKA,,,Meeting with Stefan and Robert,JUSTMIKA-2322,stefan,0,1,,0,,
JUSTMIKA-2940,Introduction of Versandpaket and Postausgang in MIKA,2021-7-20,3,josel,,,,,,,1.1.0.8,,,1.1.0.8,New Feature,Resolved,JUSTMIKA,JustThis MIKA,,,Checking behaviour of the module and solving problems.,,Project,0,3,,0,https://jira-justthis.xplain.ch/browse/TICKET-820,
JUSTMIKA-2998,Adapt search module to work with two database connections,2021-7-19,0.75,angela,,,,,,,Unclear,module-xplain-search-mika,library-xplain-search-worx;module-xplain-search-mika,Unclear,Sub-task,Resolved,JUSTMIKA,JustThis MIKA,,,Local tests,JUSTMIKA-2997,angela,0,0.75,,0,,
JUSTMIKA-2997,Two database connections,2021-7-20,1,angela,,,,,,,Unclear,NONE,NONE,Unclear,New Feature,Resolved,JUSTMIKA,JustThis MIKA,,,Organize different tasks for VDB / MIKA,,angela,0,1,0,0,,
JUSTMIKA-2996,Update codegroup 1999,2021-7-20,0.5,stella,,,,,,,1.1.0.8,database-data-codes,database-data-codes,1.1.0.8,Sub-task,Resolved,JUSTMIKA,JustThis MIKA,,,,JUSTMIKA-2940,josel,0,0.5,0,0,,
JUSTMIKA-2960,Introduce the CodeGroup 2316 in MIKA,2021-7-20,0.25,stella,,,,,,,1.1.0.8,database-data-codes,database-data-codes,1.1.0.8,Sub-task,Resolved,JUSTMIKA,JustThis MIKA,,,,JUSTMIKA-2940,stefan,0,0.25,,0,https://jira-justthis.xplain.ch/browse/TICKET-820,
JUSTMIKA-2959,Enhance values in CodeGroup 2310,2021-7-20,0.25,stella,,,,,,,1.1.0.8,database-data-codes,database-data-codes,1.1.0.8,Sub-task,Resolved,JUSTMIKA,JustThis MIKA,,,,JUSTMIKA-2940,stefan,0,0.25,,0,https://jira-justthis.xplain.ch/browse/TICKET-820,
JUSTMIKA-2954,"Changes on Mask ""Lohnrechner"" ",2021-7-19,4.25,jesus,,,,,,,1.1.0.8,client-app,client-app,1.1.0.8,Improvement,Resolved,JUSTMIKA,JustThis MIKA,,,Dev,,Project,0,4.25,,0,,
JUSTMIKA-2963,Create mask Acpd_PostaldeliveryJVDBXLMask in MIKA,2021-7-19,1.5,jesus,,,,,,,1.1.0.8,.NET,.NET,1.1.0.8,Sub-task,Resolved,JUSTMIKA,JustThis MIKA,,,"Dev, test",JUSTMIKA-2940,josel,0,1.5,0,0,https://jira-justthis.xplain.ch/browse/TICKET-820,
JUSTMIKA-2908,Search Dossier / Geschäft > add search attribut and column in the grid,2021-7-20,1.5,josel,,,,,,,1.1.0.8,module-xplain-search-mika,library-xplain-search-worx;module-xplain-search-mika,1.1.0.8,Improvement,Resolved,JUSTMIKA,JustThis MIKA,,,Developing client changes,,stefan,0,1.5,0,0,https://jira-justthis.xplain.ch/browse/TICKET-665,
JUSTMIKA-2940,Introduction of Versandpaket and Postausgang in MIKA,2021-7-19,1,josel,,,,,,,1.1.0.8,,,1.1.0.8,New Feature,Resolved,JUSTMIKA,JustThis MIKA,,,Checking,,Project,0,1,,0,https://jira-justthis.xplain.ch/browse/TICKET-820,
JUSTMIKA-2928,Change Dossiersicht Vollzugsverfahren Landesverweisung,2021-7-19,1,josel,,,,,,,1.1.0.8,client-app,client-app;library-xplain-search-worx;module-xplain-search-mika,1.1.0.8,Sub-task,Resolved,JUSTMIKA,JustThis MIKA,,,Analysing with Lorenzo.,JUSTMIKA-2530,stefan,0,1,,0,http://jira.xplain.intra:8080/browse/JUSTMIKA-2530,
JUSTMIKA-2960,Introduce the CodeGroup 2316 in MIKA,2021-7-19,0.5,stella,,,,,,,1.1.0.8,database-data-codes,database-data-codes,1.1.0.8,Sub-task,Resolved,JUSTMIKA,JustThis MIKA,,,,JUSTMIKA-2940,stefan,0,0.5,,0,https://jira-justthis.xplain.ch/browse/TICKET-820,
JUSTMIKA-2939,Modul Eingang Triage: Import Wizard,2021-7-19,1,josel,,,,,,,1.1.0.9,.NET,.NET,1.1.0.9,Sub-task,Resolved,JUSTMIKA,JustThis MIKA,,,Developing,JUSTMIKA-2372,stefan,0,1,0,0,,
JUSTMIKA-2959,Enhance values in CodeGroup 2310,2021-7-19,0.5,stella,,,,,,,1.1.0.8,database-data-codes,database-data-codes,1.1.0.8,Sub-task,Resolved,JUSTMIKA,JustThis MIKA,,,,JUSTMIKA-2940,stefan,0,0.5,,0,https://jira-justthis.xplain.ch/browse/TICKET-820,
,,,656.5,,,,,,,,,,,,,,,,,,,,,,,,,,
JUSTMIKA-3128,Behaviour User Settings,2021-9-17,3,nacho,,,,,,,1.1.0.9,,,1.1.0.9,Bug,Resolved,JUSTMIKA,JustThis MIKA,,,Mika briefing and task management,,Project,0,3,0,0,Testfeedback W 4,
JUSTMIKA-2972,"Search ""JustControl Terminkontrollen""",2021-9-16,2,lorenzo,,,,,,,1.1.0.9,module-xplain-search-mika,library-xplain-search-worx;module-xplain-search-mika,1.1.0.9,New Feature,Resolved,JUSTMIKA,JustThis MIKA,,,TEst,,Project,0,2,,0,,
JUSTMIKA-3037,Change on Verifikation MIKA,2021-9-16,1.25,marcial,,,,,,,1.1.0.9,module-xplain-search-mika,library-xplain-search-worx;module-xplain-search-mika,1.1.0.9,Sub-task,Resolved,JUSTMIKA,JustThis MIKA,,,Supporting Álvaro.,JUSTMIKA-2971,stefan,0,1.25,,0.25,,
JUSTMIKA-2972,"Search ""JustControl Terminkontrollen""",2021-9-14,4.25,lorenzo,,,,,,,1.1.0.9,module-xplain-search-mika,library-xplain-search-worx;module-xplain-search-mika,1.1.0.9,New Feature,Resolved,JUSTMIKA,JustThis MIKA,,,"Changes, deploy and test",,Project,0,4.25,,0,,
JUSTMIKA-2975,Modul Eingang Triage: SEARCH_WORX_EINGANG_TRIAGETOOL client,2021-9-14,2.5,lorenzo,,,,,,,1.1.0.9,library-xplain-search-worx,.NET;library-xplain-search-worx,1.1.0.9,Sub-task,Resolved,JUSTMIKA,JustThis MIKA,,,Check and test on dev and test environment.,JUSTMIKA-2372,josel,0,2.5,0,0,,
JUSTMIKA-3059,"Create new search page ""Massenmutation""",2021-9-9,1.5,nacho,,,,,,,1.1.0.9,client-admin,client-admin,1.1.0.9,Sub-task,Resolved,JUSTMIKA,JustThis MIKA,,,Investigate error,JUSTMIKA-2983,josel,0,1.5,,1,,
JUSTMIKA-2984,Server Methode for Massenmutation Lohnberechnung,2021-9-15,7.75,josem,,,,,,,1.1.0.9,module-xplain-database-ox-generic,module-xplain-database-ox-generic,1.1.0.9,Sub-task,Resolved,JUSTMIKA,JustThis MIKA,,,Development,JUSTMIKA-2983,stefan,0,7.75,,0.75,,
JUSTMIKA-2972,"Search ""JustControl Terminkontrollen""",2021-9-15,3.25,lorenzo,,,,,,,1.1.0.9,module-xplain-search-mika,library-xplain-search-worx;module-xplain-search-mika,1.1.0.9,New Feature,Resolved,JUSTMIKA,JustThis MIKA,,,View problem with Type,,Project,0,3.25,,0,,
JUSTMIKA-3033,Server: Improvements Erweiterte Verfahrenssuche,2021-9-16,7.75,alvaro,,,,,,,1.1.0.9,module-xplain-search-mika,library-xplain-search-worx;module-xplain-search-mika,1.1.0.9,New Feature,Resolved,JUSTMIKA,JustThis MIKA,,,dev,,tim,0,7.75,,0,,
JUSTMIKA-2984,Server Methode for Massenmutation Lohnberechnung,2021-9-18,2,josem,,,,,,,1.1.0.9,module-xplain-database-ox-generic,module-xplain-database-ox-generic,1.1.0.9,Sub-task,Resolved,JUSTMIKA,JustThis MIKA,,,Development,JUSTMIKA-2983,stefan,0,2,,0.75,,
JUSTMIKA-3094,Corrections Modul Eingang Triage,2021-9-17,0.5,josel,,,,,,,1.1.0.9,,,1.1.0.9,Bug,Resolved,JUSTMIKA,JustThis MIKA,,,Analysing tasks,,Project,0,0.5,0,0,,MIKA JustControl Changes
JUSTMIKA-3030,Ceate new table oxlogon.bm_bulkmutation,2021-9-17,1,josem,,,,,,,1.1.0.9,database-structure-product,database-structure-product,1.1.0.9,Sub-task,Resolved,JUSTMIKA,JustThis MIKA,,,development,JUSTMIKA-2983,josem,0,1,0,0,,
JUSTMIKA-3078,Different customer data for Versandart Paketpost (Datatransfer),2021-9-17,3,gregorio,,,,,,,1.1.0.9,client-app,client-app;module-xplain-util-track-trace,1.1.0.9,Sub-task,Resolved,JUSTMIKA,JustThis MIKA,,,justmika-3078,JUSTMIKA-3062,Project,0,3,,3,,
JUSTMIKA-3096,Label Meldungsstapel wrong,2021-9-17,0.5,josel,,,,,,,1.1.0.9,client-app,client-app,1.1.0.9,Sub-task,Resolved,JUSTMIKA,JustThis MIKA,,,Developing,JUSTMIKA-3094,Project,0,0.5,0,0,,MIKA JustControl Changes
JUSTMIKA-3060,"Create mask ""Massenmutation""",2021-9-17,1.5,josel,,,,,,,1.1.0.9,client-admin,client-admin,1.1.0.9,Sub-task,Resolved,JUSTMIKA,JustThis MIKA,,,Developing and testing,JUSTMIKA-2983,josel,0,1.5,,0,,
JUSTMIKA-2366,Lohnrechner in Home ,2021-9-17,1,josel,,,,,,,1.1.0.9,client-app,client-app,1.1.0.9,New Feature,Resolved,JUSTMIKA,JustThis MIKA,,,Testing,,Project,0,1,,0,,
JUSTMIKA-3088,Calculation PESC_HOURLY_WAGE_CHF_IST ,2021-9-17,1,josel,,,,,,,1.1.0.9,client-app,client-app,1.1.0.9,Sub-task,Resolved,JUSTMIKA,JustThis MIKA,,,Developing,JUSTMIKA-3029,Project,0,1,,0,,
JUSTMIKA-2984,Server Methode for Massenmutation Lohnberechnung,2021-9-16,3.25,josem,,,,,,,1.1.0.9,module-xplain-database-ox-generic,module-xplain-database-ox-generic,1.1.0.9,Sub-task,Resolved,JUSTMIKA,JustThis MIKA,,,Development,JUSTMIKA-2983,stefan,0,3.25,,0.75,,
JUSTMIKA-3084,Admin Client: CG 1700 -> Ferientage and Feiertage values are not adapted ,2021-9-17,1.75,josel,,,,,,,1.1.0.9,client-admin,client-admin,1.1.0.9,Sub-task,Resolved,JUSTMIKA,JustThis MIKA,,,Developing,JUSTMIKA-3029,Project,0,1.75,,0,,
JUSTMIKA-2939,Modul Eingang Triage: Import Wizard,2021-9-17,1.5,josel,,,,,,,1.1.0.9,.NET,.NET,1.1.0.9,Sub-task,Resolved,JUSTMIKA,JustThis MIKA,,,Developing,JUSTMIKA-2372,stefan,0,1.5,0,0,,
JUSTMIKA-3029,Corrections Lohnrechner / Lohnadministration,2021-9-16,2.5,josel,,,,,,,1.1.0.9,client-app,client-app,1.1.0.9,Bug,Resolved,JUSTMIKA,JustThis MIKA,,,Analysing and meeting of new subtasks,,Project,0,2.5,,0,,
JUSTMIKA-3059,"Create new search page ""Massenmutation""",2021-9-16,1.75,josel,,,,,,,1.1.0.9,client-admin,client-admin,1.1.0.9,Sub-task,Resolved,JUSTMIKA,JustThis MIKA,,,Developing,JUSTMIKA-2983,josel,0,1.75,,1,,
JUSTMIKA-3084,Admin Client: CG 1700 -> Ferientage and Feiertage values are not adapted ,2021-9-16,1.5,josel,,,,,,,1.1.0.9,client-admin,client-admin,1.1.0.9,Sub-task,Resolved,JUSTMIKA,JustThis MIKA,,,Developing and analysing,JUSTMIKA-3029,Project,0,1.5,,0,,
JUSTMIKA-2939,Modul Eingang Triage: Import Wizard,2021-9-16,1,josel,,,,,,,1.1.0.9,.NET,.NET,1.1.0.9,Sub-task,Resolved,JUSTMIKA,JustThis MIKA,,,Developing and analysing,JUSTMIKA-2372,stefan,0,1,0,0,,
JUSTMIKA-3087,Search just in column element,2021-9-16,0.5,josel,,,,,,,1.1.0.9,client-app,client-admin;client-app,1.1.0.9,Sub-task,Resolved,JUSTMIKA,JustThis MIKA,,,Developing,JUSTMIKA-3029,Project,0,0.5,0,0,,MIKA JustControl Changes
JUSTMIKA-3042,Change of technical user for WSBC,2021-9-2,7.75,alvaro,,,,,,,1.1.0.8,module-xplain-util-track-trace,module-xplain-util-track-trace,1.1.0.8,Sub-task,Resolved,JUSTMIKA,JustThis MIKA,,,dev,JUSTMIKA-2940,Project,0,7.75,,0,,
JUSTMIKA-3042,Change of technical user for WSBC,2021-9-3,7.75,alvaro,,,,,,,1.1.0.8,module-xplain-util-track-trace,module-xplain-util-track-trace,1.1.0.8,Sub-task,Resolved,JUSTMIKA,JustThis MIKA,,,dev,JUSTMIKA-2940,Project,0,7.75,,0,,
JUSTMIKA-3042,Change of technical user for WSBC,2021-9-1,7.75,alvaro,,,,,,,1.1.0.8,module-xplain-util-track-trace,module-xplain-util-track-trace,1.1.0.8,Sub-task,Resolved,JUSTMIKA,JustThis MIKA,,,dev,JUSTMIKA-2940,Project,0,7.75,,0,,
JUSTMIKA-3033,Server: Improvements Erweiterte Verfahrenssuche,2021-9-15,7.75,alvaro,,,,,,,1.1.0.9,module-xplain-search-mika,library-xplain-search-worx;module-xplain-search-mika,1.1.0.9,New Feature,Resolved,JUSTMIKA,JustThis MIKA,,,dev,,tim,0,7.75,,0,,
JUSTMIKA-3033,Server: Improvements Erweiterte Verfahrenssuche,2021-9-14,7.75,alvaro,,,,,,,1.1.0.9,module-xplain-search-mika,library-xplain-search-worx;module-xplain-search-mika,1.1.0.9,New Feature,Resolved,JUSTMIKA,JustThis MIKA,,,dev,,tim,0,7.75,,0,,
JUSTMIKA-3089,Values for factors changes by saving,2021-9-16,0.5,josel,,,,,,,1.1.0.9,database-structure-product,database-structure-product,1.1.0.9,Sub-task,Resolved,JUSTMIKA,JustThis MIKA,,,Analysing,JUSTMIKA-3029,Project,0,0.5,,0,,
JUSTMIKA-2972,"Search ""JustControl Terminkontrollen""",2021-9-15,3,lorenzo,,,,,,,1.1.0.9,module-xplain-search-mika,library-xplain-search-worx;module-xplain-search-mika,1.1.0.9,New Feature,Resolved,JUSTMIKA,JustThis MIKA,,,Finish changes,,Project,0,3,,0,,
JUSTMIKA-2366,Lohnrechner in Home ,2021-9-15,1.75,josel,,,,,,,1.1.0.9,client-app,client-app,1.1.0.9,New Feature,Resolved,JUSTMIKA,JustThis MIKA,,,Developing,,Project,0,1.75,,0,,
JUSTMIKA-3014,Coloring fields Lohnrechner,2021-9-15,4,josel,,,,,,,1.1.0.9,client-app,client-app,1.1.0.9,New Feature,Resolved,JUSTMIKA,JustThis MIKA,,,Developing,,Project,0,4,0,0,,MIKA JustControl Changes
JUSTMIKA-3072,Integracion of permissions in admin client,2021-9-15,2,josel,,,,,,,1.1.0.9,client-admin,client-admin,1.1.0.9,Sub-task,Resolved,JUSTMIKA,JustThis MIKA,,,Developing,JUSTMIKA-2983,josel,0,2,,0,,
JUSTMIKA-3082,Configuration: Two Database Connection in statistics module & Searches,2021-9-14,0.5,angela,,,,,,,1.1.0.9,module-xplain-search-mika,module-xplain-database-query;module-xplain-search-mika,1.1.0.9,Sub-task,Resolved,JUSTMIKA,JustThis MIKA,,,Configuration statistiks,JUSTMIKA-2997,tim,0,0.5,,0,,
JUSTMIKA-2984,Server Methode for Massenmutation Lohnberechnung,2021-9-14,7,josem,,,,,,,1.1.0.9,module-xplain-database-ox-generic,module-xplain-database-ox-generic,1.1.0.9,Sub-task,Resolved,JUSTMIKA,JustThis MIKA,,,Development,JUSTMIKA-2983,stefan,0,7,,0.75,,
JUSTMIKA-3072,Integracion of permissions in admin client,2021-9-14,5.25,josel,,,,,,,1.1.0.9,client-admin,client-admin,1.1.0.9,Sub-task,Resolved,JUSTMIKA,JustThis MIKA,,,Developing,JUSTMIKA-2983,josel,0,5.25,,0,,
JUSTMIKA-3060,"Create mask ""Massenmutation""",2021-9-14,0.5,josel,,,,,,,1.1.0.9,client-admin,client-admin,1.1.0.9,Sub-task,Resolved,JUSTMIKA,JustThis MIKA,,,Developing,JUSTMIKA-2983,josel,0,0.5,,0,,
JUSTMIKA-2984,Server Methode for Massenmutation Lohnberechnung,2021-9-14,5,gregorio,,,,,,,1.1.0.9,module-xplain-database-ox-generic,module-xplain-database-ox-generic,1.1.0.9,Sub-task,Resolved,JUSTMIKA,JustThis MIKA,,,justmika-2984,JUSTMIKA-2983,stefan,0,5,,0.75,,
JUSTMIKA-3029,Corrections Lohnrechner / Lohnadministration,2021-9-14,0.5,josel,,,,,,,1.1.0.9,client-app,client-app,1.1.0.9,Bug,Resolved,JUSTMIKA,JustThis MIKA,,,Testing client changes,,Project,0,0.5,,0,,
JUSTMIKA-3072,Integracion of permissions in admin client,2021-9-13,2,josel,,,,,,,1.1.0.9,client-admin,client-admin,1.1.0.9,Sub-task,Resolved,JUSTMIKA,JustThis MIKA,,,Developing,JUSTMIKA-2983,josel,0,2,,0,,
JUSTMIKA-3073,Correction endpoints datatransfer,2021-9-13,1,gregorio,,,,,,,1.1.0.9,module-xplain-util-track-trace,module-xplain-util-track-trace,1.1.0.9,Sub-task,Resolved,JUSTMIKA,JustThis MIKA,,,justmika-3073,JUSTMIKA-3062,Project,0,1,,0,,
JUSTMIKA-2939,Modul Eingang Triage: Import Wizard,2021-9-10,1,josel,,,,,,,1.1.0.9,.NET,.NET,1.1.0.9,Sub-task,Resolved,JUSTMIKA,JustThis MIKA,,,Developing,JUSTMIKA-2372,stefan,0,1,0,0,,
JUSTMIKA-3063,Vorname in der Empfängeradresse,2021-9-10,1,josel,,,,,,,1.1.0.9,,,1.1.0.9,Sub-task,Resolved,JUSTMIKA,JustThis MIKA,,,Developing,JUSTMIKA-3062,stefan,0,1,,0,Chapter 1.1,
JUSTMIKA-3065,Nummerierung / Paginierung der einzelnen Seiten,2021-9-10,2,josel,,,,,,,1.1.0.9,,,1.1.0.9,Sub-task,Resolved,JUSTMIKA,JustThis MIKA,,,Developing,JUSTMIKA-3062,stefan,0,2,,0,Chapter 1.3,
JUSTMIKA-3061,"Add function ""Hinzufügen""",2021-9-10,1.25,josel,,,,,,,1.1.0.9,client-admin,client-admin,1.1.0.9,Sub-task,Resolved,JUSTMIKA,JustThis MIKA,,,Developing,JUSTMIKA-2983,josel,0,1.25,,0,,
